Station Number,Station Name,State,Latitude,Longitude,Start Year,End Year,Total Observations,Valid Observations,Percentage Complete (from file),Record Length
046128,FOWLERS GAP AWS,NSW,-31.0863,141.7008,2004,2024,345692,268461,78.0,21
065068,PARKES AIRPORT AWS,NSW,-33.1281,148.2428,1997,2024,469933,371949,80.0,28
061287,MERRIWA (ROSCOMMON),NSW,-32.1852,150.1737,2007,2024,297217,293247,99.0,18
048237,COBAR AIRPORT AWS,NSW,-31.5388,145.7964,1993,2024,543560,405602,75.0,32
058161,GRAFTON AIRPORT AWS,NSW,-29.7583,153.0297,2006,2024,320361,302192,95.0,19
062100,NULLO MOUNTAIN AWS,NSW,-32.7244,150.229,1989,2024,622911,470112,76.0,36
061379,WILLIAMTOWN COMPARISON AWS,NSW,-32.8081,151.8419,1995,1999,71279,32328,45.0,5
067105,RICHMOND RAAF,NSW,-33.6004,150.7761,1989,2024,623004,515632,83.0,36
073151,TEMORA AIRPORT,NSW,-34.4277,147.5117,2005,2024,341037,274439,81.0,20
046136,WANAARING (BORRONA DOWNS AWS),NSW,-29.7614,143.1135,2017,2024,122506,116646,98.0,8
065091,COWRA AIRPORT COMPARISON,NSW,-33.8451,148.6534,2004,2004,397,199,50.0,1
061260,CESSNOCK AIRPORT AWS,NSW,-32.7914,151.3369,1994,2024,526833,411331,79.0,31
074258,DENILIQUIN AIRPORT AWS,NSW,-35.5575,144.9458,1997,2024,475933,370688,78.0,28
073138,YOUNG AIRPORT,NSW,-34.2493,148.2475,1989,2024,623005,430823,70.0,36
047111,WENTWORTH (NULLA),NSW,-33.8218,141.3592,2017,2024,121638,103868,96.0,8
070351,CANBERRA AIRPORT,NSW,-35.3088,149.2004,2008,2024,277355,272888,99.0,17
066137,BANKSTOWN AIRPORT AWS,NSW,-33.9176,150.9837,1989,2024,623003,542100,87.0,36
056243,GLEN INNES AIRPORT AWS,NSW,-29.678,151.694,1996,2024,486445,356574,74.0,29
047110,NELIA GAARI,NSW,-32.0079,142.8181,2017,2024,121638,115655,98.0,8
048027,COBAR MO,NSW,-31.484,145.8294,1989,2024,623003,407987,66.0,36
063303,ORANGE AIRPORT AWS,NSW,-33.3768,149.1263,1996,2024,496807,389070,79.0,29
047112,IVANHOE (OVERNEWTON),NSW,-32.9416,143.5386,2017,2024,121638,101365,87.0,8
066193,MARSFIELD (MACQUARIE UNIVERSITY NO:2),NSW,-33.7654,151.1176,2018,2024,99326,0,96.0,7
059151,COFFS HARBOUR AIRPORT,NSW,-30.3189,153.1162,2013,2024,191677,175551,99.0,12
070217,COOMA AIRPORT AWS,NSW,-36.2939,148.9725,1992,2024,566001,438438,78.0,33
068262,HIGH RANGE AWS (WANGANDERRY),NSW,-34.3335,150.267,2014,2024,176024,171583,99.0,11
068257,CAMPBELLTOWN (MOUNT ANNAN),NSW,-34.0615,150.7735,2006,2024,309755,297737,97.0,19
058212,EVANS HEAD RAAF BOMBING RANGE AWS,NSW,-29.183,153.3964,1998,2024,462397,368438,80.0,27
046138,WHITE CLIFFS (CAWNALMURTEE),NSW,-30.5807,143.3528,2017,2024,121638,96802,85.0,8
051164,GIRILAMBONE (OKEH) AWS,NSW,-31.0824,146.9296,2017,2024,126148,124246,99.0,8
055325,TAMWORTH AIRPORT AWS,NSW,-31.0742,150.8362,1989,2024,623005,438432,71.0,36
072150,WAGGA WAGGA AMO,NSW,-35.1583,147.4575,1989,2024,623004,498741,81.0,36
054038,NARRABRI AIRPORT AWS,NSW,-30.3154,149.8302,2001,2024,403347,333101,84.0,24
053000,MOREE AUTOSONDE,NSW,-29.4917,149.8461,2000,2001,23762,21346,90.0,2
074272,KAPOOKA (DEFENCE),NSW,-35.1327,147.2512,2017,2024,118910,118422,99.0,8
049135,KILLALA,NSW,-31.9945,145.9736,2017,2024,121628,113561,97.0,8
059007,KEMPSEY AIRPORT AWS,NSW,-31.0711,152.7717,2001,2024,410415,350514,86.0,24
068242,KIAMA (BOMBO HEADLAND),NSW,-34.6532,150.8609,2001,2024,395811,269178,79.0,24
066051,LITTLE BAY (THE COAST GOLF CLUB),NSW,-33.9829,151.2502,1999,2024,441981,0,93.0,26
048246,BURRAWANTIE,NSW,-29.1544,145.4066,2017,2024,121638,107864,94.0,8
058012,YAMBA PILOT STATION,NSW,-29.4325,153.3632,2007,2024,293909,254541,88.0,18
058077,GRAFTON RESEARCH STN,NSW,-29.6224,152.9605,2002,2024,383535,364818,96.0,23
072160,ALBURY AIRPORT AWS,NSW,-36.069,146.9509,1993,2024,547185,436105,80.0,32
061375,MANGROVE MOUNTAIN AWS,NSW,-33.2894,151.2107,1994,2024,526833,404739,78.0,31
058216,BYRON BAY (CAPE BYRON AWS),NSW,-28.6399,153.6358,2002,2024,379311,314959,84.0,23
046142,SMITHVILLE AWS,NSW,-30.0692,141.0067,2017,2024,122506,119318,99.0,8
072161,CABRAMURRA SMHEA AWS,NSW,-35.9371,148.3779,1996,2024,483709,349292,73.0,29
068072,NOWRA RAN AIR STATION AWS,NSW,-34.9469,150.5353,2000,2024,414207,399872,98.0,25
066062,SYDNEY (OBSERVATORY HILL),NSW,-33.8607,151.205,1993,2020,473110,464333,98.0,28
047113,MULURULU AWS,NSW,-33.3392,143.4,2017,2024,122506,114022,99.0,8
066214,SYDNEY (OBSERVATORY HILL),NSW,-33.8593,151.2048,2017,2024,118126,116729,99.0,8
067033,RICHMOND RAAF,NSW,-33.6022,150.7794,1985,1994,172367,0,0.0,10
068228,BELLAMBI AWS,NSW,-34.3692,150.9291,1989,2024,623005,463811,75.0,36
051162,WALGETT (BREWON AWS),NSW,-30.2411,147.5327,2017,2024,126148,124967,99.0,8
058214,LISMORE AIRPORT AWS,NSW,-28.8305,153.2601,2002,2024,392607,313255,81.0,23
070330,GOULBURN AIRPORT AWS,NSW,-34.8085,149.7311,1989,2024,622911,450691,73.0,36
059040,COFFS HARBOUR MO,NSW,-30.3107,153.1187,1989,2015,467277,340086,74.0,27
046139,GRASMERE,NSW,-31.4198,142.6258,2017,2024,121638,108039,93.0,8
061250,PATERSON (TOCAL AWS),NSW,-32.6296,151.5919,2002,2024,385597,317161,83.0,23
048250,NOONA AWS,NSW,-31.7267,144.9313,2017,2024,122507,121958,99.0,8
051161,COONAMBLE AIRPORT AWS,NSW,-30.9776,148.3798,1997,2024,470317,343780,74.0,28
052057,WEEMELAH (CRINOLYN),NSW,-29.2403,149.1265,2017,2024,121638,107494,93.0,8
051049,TRANGIE RESEARCH STATION AWS,NSW,-31.9861,147.9489,1997,2024,469213,346828,74.0,28
066161,HOLSWORTHY AERODROME AWS,NSW,-33.9925,150.9489,2012,2024,208141,204757,99.0,13
056238,ARMIDALE AIRPORT AWS,NSW,-30.5273,151.6158,1993,2024,547180,456533,84.0,32
050137,CONDOBOLIN AIRPORT AWS,NSW,-33.0682,147.2133,1993,2024,544977,413449,76.0,32
070328,BOMBALA AWS,NSW,-37.0015,149.2336,1989,2024,620585,439813,71.0,36
071075,PERISHER VALLEY AWS,NSW,-36.4069,148.4055,2010,2024,247923,243902,99.0,15
061425,GOSFORD AWS,NSW,-33.4351,151.3614,2013,2024,194836,193119,99.0,12
069148,MORUYA AIRPORT AWS,NSW,-35.9004,150.1437,1999,2024,434603,333581,77.0,26
055202,GUNNEDAH AIRPORT AWS,NSW,-30.9537,150.2494,2001,2024,400335,308202,77.0,24
049137,WAIKO,NSW,-32.8323,144.4645,2017,2024,121639,112546,95.0,8
050017,WEST WYALONG AIRPORT AWS,NSW,-33.9382,147.1962,1999,2024,441981,330235,75.0,26
074148,NARRANDERA AIRPORT AWS,NSW,-34.705,146.514,2007,2024,304049,292497,97.0,18
056018,INVERELL RESEARCH CENTRE,NSW,-29.7752,151.082,2002,2024,378254,311815,83.0,23
046129,WHITE CLIFFS AWS,NSW,-30.8522,143.0743,2005,2024,333596,267381,81.0,20
071032,THREDBO AWS,NSW,-36.4917,148.2859,1998,2024,459661,334638,74.0,27
046144,WINNATHEE,NSW,-29.751,141.1105,2017,2024,121637,110968,94.0,8
061428,MAITLAND AIRPORT AWS,NSW,-32.7023,151.4881,2016,2024,140459,135957,99.0,9
094087,KUNANYI (MOUNT WELLINGTON PINNACLE),TAS,-42.895,147.2358,1990,2024,596604,489887,83.0,35
095003,BUSHY PARK (BUSHY PARK ESTATES),TAS,-42.7097,146.8983,1998,2024,456199,352024,78.0,27
092100,STORYS CREEK (STORYS CREEK ROAD),TAS,-41.635,147.7292,1992,1998,98827,9650,10.0,7
094212,CAMPANIA (KINCORA),TAS,-42.6867,147.4258,2001,2024,407243,317337,78.0,24
091259,LUNCHEON HILL (FORESTRY),TAS,-41.1492,145.1517,1997,2024,467962,361044,78.0,28
091293,LOW HEAD,TAS,-41.0547,146.7874,2000,2024,422640,308398,74.0,25
094155,TASMAN ISLAND,TAS,-43.2397,148.0025,2001,2024,395958,362500,94.0,24
092124,MARIA ISLAND (POINT LESUEUR),TAS,-42.6621,148.0179,2004,2024,346561,330354,96.0,21
091306,CRESSY RESEARCH STATION,TAS,-41.7256,147.0794,1999,2022,408433,326856,81.0,24
092045,LARAPUNA (EDDYSTONE POINT),TAS,-40.9928,148.3467,1994,2024,526846,360624,69.0,31
092163,FINGAL (FLEMING ST),TAS,-41.643,147.98,2022,2024,34753,31822,99.0,3
091245,CAPE GRIM BAPS (COMPARISON),TAS,-40.6828,144.69,1997,2023,453368,364655,83.0,27
091237,LAUNCESTON (TI TREE BEND),TAS,-41.4194,147.1219,1999,2024,433928,387478,90.0,26
091291,SHEFFIELD SCHOOL FARM,TAS,-41.389,146.3173,2002,2024,390586,307484,80.0,23
094255,DENNES POINT,TAS,-43.0639,147.3567,2012,2024,206796,205826,99.0,13
092120,ST HELENS AERODROME,TAS,-41.3381,148.2792,2001,2024,412186,354188,87.0,24
094029,HOBART (ELLERSLIE ROAD),TAS,-42.8897,147.3278,1994,2024,521341,386130,81.0,31
097024,WARRA,TAS,-43.0609,146.704,2004,2024,347045,333074,98.0,21
091219,SCOTTSDALE (WEST MINSTONE ROAD),TAS,-41.1708,147.4883,2003,2024,376654,332694,90.0,22
094191,HARTZ MOUNTAIN (KEOGHS PIMPLE),TAS,-43.2006,146.7683,1999,2024,439740,416969,96.0,26
097080,LOW ROCKY POINT,TAS,-42.9831,145.5025,2012,2024,215616,175721,99.0,13
094220,GROVE (RESEARCH STATION),TAS,-42.9844,147.0756,2004,2024,349684,315891,91.0,21
092012,FINGAL (LEGGE STREET),TAS,-41.6428,147.9664,2001,2021,361197,302844,84.0,21
092114,FRIENDLY BEACHES,TAS,-41.9953,148.2794,1997,2024,468097,384325,83.0,28
091311,LAUNCESTON AIRPORT,TAS,-41.5476,147.2156,2004,2024,350688,347629,99.0,21
091126,DEVONPORT AIRPORT,TAS,-41.1701,146.4289,1990,2024,592332,394144,67.0,35
094041,MAATSUYKER ISLAND LIGHTHOUSE,TAS,-43.6578,146.2711,1997,2024,467409,354146,76.0,28
099005,FLINDERS ISLAND AIRPORT,TAS,-40.0911,148.0024,1993,2024,545872,400293,75.0,32
091331,KENNAOOK/CAPE GRIM,TAS,-40.6764,144.6922,2010,2024,238043,235442,99.0,15
092123,SWAN ISLAND,TAS,-40.7292,148.125,2003,2024,374550,340084,94.0,22
094254,DUNALLEY (STROUD POINT),TAS,-42.9017,147.7894,2012,2024,215225,213573,99.0,13
091292,SMITHTON AERODROME,TAS,-40.8347,145.0847,1998,2024,455446,376969,83.0,27
094008,HOBART AIRPORT WEST,TAS,-42.8339,147.5033,1984,2022,660532,425342,65.0,39
